Leito;Unidade;Tipo
APT 101;1º ANDAR 1;Unidade de Internação
APT 103;1º ANDAR 1;Unidade de Internação
APT 104;1º ANDAR 1;Unidade de Internação
APT 105V;1º ANDAR 1;Unidade de Internação
APT 106;1º ANDAR 1;Unidade de Internação
APT 107;1º ANDAR 1;Unidade de Internação
APT 108;1º ANDAR 1;Unidade de Internação
APT 109;1º ANDAR 1;Unidade de Internação
APT 110;1º ANDAR 1;Unidade de Internação
APT 111;1º ANDAR 1;Unidade de Internação
APT 113;1º ANDAR 1;Unidade de Internação
APT 114;1º ANDAR 1;Unidade de Internação
APT 115;1º ANDAR 1;Unidade de Internação
APT 116;1º ANDAR 1;Unidade de Internação
APT 117;1º ANDAR 1;Unidade de Internação
APT 112;1º ANDAR 1;Unidade de Internação
APTO 134;1º ANDAR 2;Unidade de Internação
APTO 118;1º ANDAR 2;Unidade de Internação
APTO 119;1º ANDAR 2;Unidade de Internação
APTO 128;1º ANDAR 2;Unidade de Internação
APTO 120;1º ANDAR 2;Unidade de Internação
APTO 137;1º ANDAR 2;Unidade de Internação
APTO 127;1º ANDAR 2;Unidade de Internação
APTO VIP 135;1º ANDAR 2;Unidade de Internação
APTO 136;1º ANDAR 2;Unidade de Internação
APT 221;2º ANDAR 2;Unidade de Internação
APT 222;2º ANDAR 2;Unidade de Internação
APT 223;2º ANDAR 2;Unidade de Internação
APT 224;2º ANDAR 2;Unidade de Internação
APT 225;2º ANDAR 2;Unidade de Internação
APT 226;2º ANDAR 2;Unidade de Internação
APT 227;2º ANDAR 2;Unidade de Internação
APTO 122;1º ANDAR 2;Unidade de Internação
APTO 123;1º ANDAR 2;Unidade de Internação
APTO 124;1º ANDAR 2;Unidade de Internação
APTO 125;1º ANDAR 2;Unidade de Internação
APTO 126;1º ANDAR 2;Unidade de Internação
APTO 129;1º ANDAR 2;Unidade de Internação
APTO 130;1º ANDAR 2;Unidade de Internação
APTO 131;1º ANDAR 2;Unidade de Internação
APTO 132;1º ANDAR 2;Unidade de Internação
APTO 133;1º ANDAR 2;Unidade de Internação
APTO 134;1º ANDAR 2;Unidade de Internação
APTO 118;1º ANDAR 2;Unidade de Internação
APTO 119;1º ANDAR 2;Unidade de Internação
